,Channel 1 Last (C),Channel 3 Last (C),Channel 4 Last (C),Channel 5 Last (C),Channel 6 Last (C)
0:00:00,30.448,30.867,30.882,28.403,28.036
0:00:01,30.46,30.857,30.86,28.389,28.029
0:00:02,30.501,30.887,30.929,28.401,28.061
0:00:03,30.501,30.887,30.902,28.38,28.071
0:00:04,30.516,30.884,30.921,28.388,28.071
0:00:05,30.574,30.92,30.931,28.374,28.089
0:00:06,30.58,30.89,30.93,28.363,28.069
0:00:07,30.602,30.901,30.952,28.375,28.081
0:00:08,30.7,30.929,30.975,28.389,28.087
0:00:09,30.702,30.928,30.983,28.432,28.13
0:00:10,30.717,30.954,30.976,28.436,28.138
0:00:11,25.652,30.181,30.806,28.451,28.164
0:00:12,-10.354,24.931,29.42,28.437,28.18
0:00:13,-31.312,19.696,28.276,28.405,28.166
0:00:14,-52.004,8.681,25.598,28.316,28.152
0:00:15,-56.992,4.523,24.867,28.307,28.156
0:00:16,-58.991,2.178,24.466,28.318,28.153
0:00:17,-63.089,-0.209,24.798,28.402,28.156
0:00:18,-65.474,-3.046,23.449,28.387,28.184
0:00:19,-67.276,-5.133,22.441,28.309,28.192
0:00:20,-69.512,-8.494,21.044,28.208,28.125
0:00:21,-70.352,-10.286,20.07,28.127,28.124
0:00:22,-70.898,-11.289,19.736,28.102,28.106
0:00:23,-71.592,-12.653,19.026,28.05,28.116
0:00:24,-72.064,-13.507,18.207,27.982,28.1
0:00:25,-72.287,-14.086,18.163,27.997,28.111
0:00:26,-72.697,-14.809,17.51,27.916,28.092
0:00:27,-72.974,-15.871,16.63,27.819,28.106
0:00:28,-73.21,-16.743,16.04,27.738,28.081
0:00:29,-73.558,-17.086,16.139,27.684,28.091
0:00:30,-73.875,-17.436,15.911,27.608,28.071
0:00:31,-73.901,-17.498,15.614,27.564,28.079
0:00:32,-74.256,-18.402,15.177,27.44,28.093
0:00:33,-74.512,-18.92,14.438,27.308,28.088
0:00:34,-74.686,-19.325,14.398,27.275,28.07
0:00:35,-74.694,-18.936,14.626,27.157,28.086
0:00:36,-74.859,-19.964,13.329,26.976,28.065
0:00:37,-75.091,-20.275,13.638,26.928,28.036
0:00:38,-75.302,-20.654,13.089,26.789,28.059
0:00:39,-75.523,-21.14,13.045,26.687,28.023
0:00:40,-75.545,-20.958,12.894,26.643,28.038
0:00:41,-75.617,-22.288,11.826,26.44,28.017
0:00:42,-75.945,-22.462,12.13,26.391,27.995
0:00:43,-75.878,-22.517,11.833,26.34,28.021
0:00:44,-76.145,-23.349,10.977,26.135,28.036
0:00:45,-76.189,-23.193,11.259,26.088,28.042
0:00:46,-76.224,-22.613,11.475,26.041,28.031
0:00:47,-76.641,-23.428,10.257,25.806,28.017
0:00:48,-76.709,-24.152,9.731,25.675,27.996
0:00:49,-76.884,-24.038,10.165,25.668,27.971
0:00:50,-76.891,-24.389,9.736,25.507,27.97
0:00:51,-77.02,-24.332,9.617,25.404,27.976
0:00:52,-77.011,-24.516,9.34,25.317,27.973
0:00:53,-77.403,-24.787,9.054,25.17,27.963
0:00:54,-77.536,-25.697,7.78,24.939,27.942
0:00:55,-77.639,-26.091,7.811,24.888,27.931
0:00:56,-77.722,-26.166,7.891,24.79,27.932
0:00:57,-77.878,-26.041,7.812,24.703,27.926
0:00:58,-78.075,-26.077,7.922,24.64,27.878
0:00:59,-78.228,-26.887,6.716,24.419,27.885
0:01:00,-78.283,-27.549,6.264,24.311,27.895
0:01:01,-78.385,-27.785,5.897,24.227,27.877
0:01:02,-78.419,-27.987,5.96,24.118,27.869
0:01:03,-78.508,-28.303,5.576,24.008,27.853
0:01:04,-78.503,-27.869,6.2,24.016,27.883
0:01:05,-78.804,-28.781,4.94,23.781,27.84
0:01:06,-78.944,-29.243,4.689,23.723,27.873
0:01:07,-78.984,-29.14,4.731,23.635,27.856
0:01:08,-79.085,-28.902,4.653,23.498,27.816
0:01:09,-79.236,-29.505,3.941,23.358,27.765
0:01:10,-79.37,-29.579,3.828,23.303,27.773
0:01:11,-79.409,-29.647,3.713,23.175,27.767
0:01:12,-79.395,-29.64,4.247,23.169,27.768
0:01:13,-79.452,-29.829,3.583,23.007,27.728
0:01:14,-79.561,-30.066,3.626,22.927,27.721
0:01:15,-79.611,-29.693,3.96,22.91,27.748
0:01:16,-79.642,-29.72,3.698,22.803,27.723
0:01:17,-79.909,-30.78,2.395,22.573,27.65
0:01:18,-79.796,-30.745,2.761,22.529,27.669
0:01:19,-79.939,-30.721,2.893,22.519,27.629
0:01:20,-80.086,-31.121,2.219,22.325,27.621
0:01:21,-80.161,-31.028,2.31,22.267,27.602
0:01:22,-80.179,-31.18,2.051,22.186,27.584
0:01:23,-80.24,-31.313,2.227,22.097,27.576
0:01:24,-80.186,-31.475,2.076,22.019,27.527
0:01:25,-80.374,-31.394,2.125,22.041,27.512
0:01:26,-80.354,-31.602,2.353,21.951,27.56
0:01:27,-80.362,-31.424,2.506,21.918,27.566
0:01:28,-80.426,-31.287,2.589,21.904,27.585
0:01:29,-80.476,-32.123,1.489,21.692,27.56
0:01:30,-80.479,-32.389,1.446,21.615,27.554
0:01:31,-80.52,-32.505,1.12,21.505,27.532
0:01:32,-80.643,-32.506,0.977,21.365,27.506
0:01:33,-80.485,-32.724,0.754,21.257,27.438
