"","Channel 1 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)","Channel 5 Last (C)","Channel 6 Last (C)"
"00:00:00","28.812","29.460","28.367","28.709","28.382"
"00:00:01","28.808","29.448","28.252","28.653","28.326"
"00:00:02","28.830","29.456","28.355","28.668","28.363"
"00:00:03","28.848","29.455","28.377","28.661","28.366"
"00:00:04","28.866","29.470","28.425","28.646","28.370"
"00:00:05","28.874","29.451","28.223","28.572","28.322"
"00:00:06","28.892","29.437","28.255","28.590","28.329"
"00:00:07","28.877","29.421","28.259","28.634","28.365"
"00:00:08","28.906","29.451","28.365","28.634","28.365"
"00:00:09","28.873","29.414","28.225","28.641","28.395"
"00:00:10","28.924","29.439","28.369","28.670","28.424"
"00:00:11","28.924","29.439","28.383","28.667","28.442"
"00:00:12","28.931","29.428","28.273","28.600","28.361"
"00:00:13","28.939","29.439","28.343","28.619","28.413"
"00:00:14","28.938","29.417","28.232","28.600","28.398"
"00:00:15","22.316","28.695","27.548","28.611","28.412"
"00:00:16","-19.314","23.842","25.340","28.534","28.416"
"00:00:17","-30.963","20.130","25.075","28.467","28.331"
"00:00:18","-44.096","10.183","23.724","28.537","28.423"
"00:00:19","-50.917","-0.230","21.225","28.349","28.430"
"00:00:20","-53.072","-3.557","20.512","28.308","28.444"
"00:00:21","-56.444","-8.274","19.632","28.234","28.382"
"00:00:22","-58.654","-11.637","18.026","28.112","28.355"
"00:00:23","-61.006","-13.942","16.662","27.987","28.291"
"00:00:24","-62.484","-15.699","16.387","28.009","28.322"
"00:00:25","-64.537","-17.645","15.425","28.001","28.391"
"00:00:26","-65.265","-18.587","14.477","27.876","28.388"
"00:00:27","-66.435","-20.233","12.518","27.626","28.358"
"00:00:28","-67.475","-21.597","11.154","27.452","28.299"
"00:00:29","-67.909","-22.189","10.414","27.338","28.258"
"00:00:30","-68.282","-23.048","10.388","27.400","28.291"
"00:00:31","-68.429","-23.888","10.213","27.352","28.224"
"00:00:32","-68.893","-24.365","9.510","27.282","28.221"
"00:00:33","-69.413","-25.245","8.132","27.153","28.261"
"00:00:34","-69.959","-26.097","6.457","26.921","28.143"
"00:00:35","-70.083","-26.452","5.755","26.792","28.132"
"00:00:36","-70.334","-27.003","5.714","26.833","28.120"
"00:00:37","-70.549","-27.410","6.119","26.891","28.271"
"00:00:38","-70.867","-27.860","4.790","26.641","28.179"
"00:00:39","-71.073","-28.561","2.887","26.287","28.039"
"00:00:40","-71.668","-29.117","2.282","26.158","27.936"
"00:00:41","-71.749","-29.390","2.462","26.070","27.946"
"00:00:42","-71.924","-29.875","2.394","25.845","27.902"
"00:00:43","-72.323","-30.359","2.109","25.698","27.843"
"00:00:44","-72.390","-30.548","1.782","25.642","27.839"
"00:00:45","-72.681","-31.014","-0.484","25.443","27.787"
"00:00:46","-73.017","-31.504","-2.023","25.189","27.699"
"00:00:47","-73.093","-31.737","-2.757","25.046","27.651"
"00:00:48","-73.371","-32.083","-3.103","24.983","27.643"
"00:00:49","-73.671","-32.448","-3.662","24.895","27.632"
"00:00:50","-74.011","-32.718","-4.392","24.777","27.554"
"00:00:51","-73.971","-33.060","-5.157","24.497","27.470"
"00:00:52","-74.240","-33.321","-4.993","24.585","27.543"
"00:00:53","-73.860","-33.345","-4.609","24.581","27.624"
"00:00:54","-74.370","-33.851","-5.967","24.191","27.440"
"00:00:55","-74.778","-34.193","-6.693","24.021","27.355"
"00:00:56","-74.679","-34.342","-7.100","23.867","27.333"
"00:00:57","-74.554","-34.478","-6.374","23.970","27.502"
"00:00:58","-75.033","-34.876","-7.248","23.594","27.240"
"00:00:59","-75.056","-35.049","-7.967","23.447","27.229"
"00:01:00","-75.373","-35.419","-9.066","23.230","27.211"
"00:01:01","-75.633","-35.712","-9.823","22.961","27.034"
"00:01:02","-75.678","-35.901","-10.611","22.663","26.912"
"00:01:03","-75.835","-36.098","-10.623","22.596","26.879"
"00:01:04","-75.889","-36.263","-10.063","22.681","27.030"
"00:01:05","-76.140","-36.428","-10.322","22.589","27.008"
"00:01:06","-76.189","-36.721","-11.226","22.361","26.934"
"00:01:07","-76.529","-36.922","-11.411","22.221","26.768"
"00:01:08","-76.256","-36.974","-11.581","22.121","26.787"
"00:01:09","-76.579","-37.308","-12.438","21.794","26.658"
"00:01:10","-76.794","-37.581","-13.156","21.565","26.624"
"00:01:11","-76.731","-37.653","-13.102","21.514","26.621"
"00:01:12","-77.103","-37.838","-13.103","21.414","26.451"
"00:01:13","-77.022","-37.955","-13.099","21.348","26.458"
"00:01:14","-77.090","-38.100","-13.493","21.189","26.440"
"00:01:15","-77.394","-38.393","-14.427","20.796","26.281"
"00:01:16","-77.404","-38.610","-15.118","20.593","26.230"
"00:01:17","-77.444","-38.711","-15.269","20.512","26.230"
"00:01:18","-77.435","-38.900","-15.428","20.350","26.160"
"00:01:19","-77.614","-39.085","-15.779","20.188","26.134"
"00:01:20","-77.668","-39.177","-16.045","20.037","26.038"
"00:01:21","-77.829","-39.314","-16.003","19.907","25.828"
"00:01:22","-77.924","-39.419","-16.262","19.684","25.736"
"00:01:23","-77.897","-39.523","-16.467","19.546","25.725"
"00:01:24","-77.955","-39.716","-17.023","19.308","25.647"
"00:01:25","-78.219","-39.953","-17.370","19.152","25.588"
"00:01:26","-78.219","-39.977","-17.116","19.137","25.537"
"00:01:27","-78.434","-40.100","-16.826","19.304","25.614"
"00:01:28","-78.184","-40.195","-16.791","19.211","25.695"
"00:01:29","-78.242","-40.327","-16.984","19.085","25.684"
"00:01:30","-78.506","-40.619","-18.297","18.569","25.382"
"00:01:31","-78.323","-40.636","-17.845","18.713","25.522"
"00:01:32","-78.542","-40.833","-18.587","18.383","25.360"
"00:01:33","-78.569","-40.986","-19.027","18.219","25.297"
"00:01:34","-78.484","-41.101","-19.397","17.873","25.161"
"00:01:35","-78.677","-41.204","-19.606","17.795","25.113"
"00:01:36","-78.739","-41.369","-20.177","17.535","24.984"
"00:01:37","-78.663","-41.480","-20.260","17.472","25.006"
"00:01:38","-78.614","-41.529","-20.138","17.390","24.951"
"00:01:39","-78.516","-41.534","-19.545","17.416","24.991"
"00:01:40","-78.565","-41.686","-19.560","17.308","24.944"
"00:01:41","-78.578","-41.793","-19.946","17.163","24.881"
"00:01:42","-78.892","-41.941","-20.193","17.134","24.888"
"00:01:43","-78.954","-42.040","-20.300","16.922","24.741"
"00:01:44","-78.990","-42.176","-21.029","16.617","24.546"
"00:01:45","-79.044","-42.213","-21.151","16.487","24.447"
"00:01:46","-79.245","-42.390","-21.581","16.275","24.359"
"00:01:47","-79.174","-42.427","-21.739","16.167","24.351"
"00:01:48","-79.147","-42.575","-21.778","16.074","24.289"
"00:01:49","-79.161","-42.555","-20.635","16.368","24.480"
"00:01:50","-79.420","-42.637","-20.844","16.171","24.318"
"00:01:51","-79.487","-42.830","-21.861","15.788","24.204"
"00:01:52","-79.590","-42.987","-22.492","15.539","24.123"
"00:01:53","-79.706","-43.061","-22.594","15.532","24.141"
"00:01:54","-79.840","-43.102","-22.393","15.487","23.968"
"00:01:55","-79.881","-43.230","-23.016","15.168","23.895"
"00:01:56","-79.889","-43.308","-23.225","15.075","23.862"
"00:01:57","-79.840","-43.209","-22.212","15.231","23.921"
"00:01:58","-80.094","-43.402","-23.055","14.826","23.700"
"00:01:59","-80.066","-43.448","-23.051","14.826","23.733"
"00:02:00","-80.306","-43.522","-22.444","14.889","23.685"
"00:02:01","-80.371","-43.559","-21.908","15.130","23.847"
"00:02:02","-80.486","-43.604","-21.676","15.220","23.998"
"00:02:03","-80.301","-43.785","-22.468","14.789","23.862"
"00:02:04","-80.744","-43.917","-22.984","14.495","23.505"
"00:02:05","-80.767","-43.913","-22.933","14.402","23.446"
"00:02:06","-80.712","-43.913","-22.629","14.265","23.343"
"00:02:07","-80.523","-44.086","-23.422","13.990","23.310"
"00:02:08","-80.578","-44.107","-23.402","13.964","23.310"
"00:02:09","-80.601","-44.189","-23.304","14.008","23.417"
"00:02:10","-80.850","-44.354","-24.005","13.588","23.148"
"00:02:11","-80.901","-44.444","-24.640","13.354","23.045"
"00:02:12","-80.915","-44.514","-24.530","13.406","23.034"
"00:02:13","-80.961","-44.522","-24.636","13.217","22.971"
"00:02:14","-81.026","-44.671","-25.480","12.919","22.861"
"00:02:15","-81.095","-44.765","-25.965","12.600","22.666"
"00:02:16","-81.187","-44.666","-24.770","12.771","22.648"
"00:02:17","-81.095","-44.600","-24.159","12.845","22.651"
"00:02:18","-80.924","-44.782","-24.778","12.622","22.710"
"00:02:19","-81.261","-45.045","-25.984","12.277","22.519"
"00:02:20","-81.353","-45.033","-25.716","12.340","22.548"
"00:02:21","-81.376","-45.152","-26.185","12.154","22.398"
"00:02:22","-81.349","-45.160","-26.201","11.961","22.339"
"00:02:23","-81.238","-45.152","-25.933","11.994","22.375"
"00:02:24","-81.302","-45.234","-25.929","11.928","22.372"
"00:02:25","-81.454","-45.333","-25.901","11.865","22.273"
"00:02:26","-81.436","-45.259","-25.227","11.905","22.247"
"00:02:27","-81.500","-45.263","-24.738","11.958","22.192"
"00:02:28","-81.449","-45.378","-25.361","11.742","22.203"
"00:02:29","-81.339","-45.448","-25.889","11.534","22.155"
"00:02:30","-81.436","-45.596","-26.165","11.437","22.137"
"00:02:31","-81.463","-45.616","-26.027","11.255","22.038"
"00:02:32","-81.417","-45.641","-25.995","11.203","21.986"
"00:02:33","-81.532","-45.752","-26.374","11.029","21.898"
"00:02:34","-81.532","-45.826","-26.551","10.918","21.902"
"00:02:35","-81.449","-45.900","-27.020","10.747","21.872"
"00:02:36","-81.412","-45.846","-26.141","10.784","21.747"
"00:02:37","-81.412","-45.929","-26.787","10.557","21.729"
"00:02:38","-81.314","-46.015","-27.209","10.338","21.553"
"00:02:39","-81.301","-45.920","-26.562","10.353","21.571"
"00:02:40","-81.245","-45.895","-25.939","10.484","21.737"
"00:02:41","-80.881","-45.809","-25.356","10.554","21.913"
"00:02:42","-81.088","-46.039","-25.513","10.480","21.873"
"00:02:43","-81.240","-46.138","-26.144","10.123","21.689"
"00:02:44","-81.046","-46.006","-25.209","10.354","21.840"
"00:02:45","-81.286","-46.158","-25.745","10.016","21.620"
"00:02:46","-81.318","-46.261","-26.321","9.791","21.542"
"00:02:47","-81.364","-46.294","-26.321","9.693","21.406"
"00:02:48","-81.622","-46.351","-26.482","9.442","21.256"
"00:02:49","-81.613","-46.392","-26.628","9.367","21.175"
"00:02:50","-81.696","-46.413","-26.565","9.326","21.171"
"00:02:51","-81.534","-46.384","-26.387","9.157","21.135"
"00:02:52","-81.511","-46.581","-27.625","8.778","20.991"
"00:02:53","-81.571","-46.548","-27.428","8.666","20.885"
"00:02:54","-81.607","-46.556","-27.077","8.718","20.936"
"00:02:55","-81.672","-46.729","-27.924","8.306","20.767"
"00:02:56","-81.723","-46.762","-28.212","8.152","20.708"
"00:02:57","-81.801","-46.811","-28.223","8.137","20.595"
"00:02:58","-81.939","-46.790","-27.427","8.201","20.576"
"00:02:59","-81.902","-46.757","-26.946","8.314","20.628"
"00:03:00","-82.003","-46.852","-27.308","8.160","20.602"
"00:03:01","-81.892","-46.896","-27.899","7.777","20.467"
"00:03:02","-82.044","-46.971","-28.361","7.575","20.349"
"00:03:03","-82.109","-47.020","-28.266","7.597","20.400"
"00:03:04","-82.224","-46.987","-27.533","7.691","20.349"
"00:03:05","-82.298","-47.040","-27.726","7.530","20.279"
"00:03:06","-82.265","-47.192","-28.967","7.226","20.283"
"00:03:07","-82.422","-47.241","-29.400","6.941","20.110"
"00:03:08","-82.431","-47.274","-29.527","6.896","20.118"
"00:03:09","-82.241","-47.249","-29.077","6.975","20.206"
"00:03:10","-82.329","-47.336","-29.369","6.697","20.055"
"00:03:11","-82.458","-47.335","-29.088","6.735","20.063"
"00:03:12","-82.485","-47.455","-29.877","6.368","19.882"
"00:03:13","-82.315","-47.512","-30.392","6.116","19.767"
"00:03:14","-82.310","-47.426","-29.589","6.364","19.886"
"00:03:15","-82.697","-47.549","-29.218","6.286","19.786"
"00:03:16","-84.200","-48.178","-29.596","6.057","19.708"
"00:03:17","-84.966","-48.483","-29.430","6.083","19.745"
"00:03:18","-86.511","-49.256","-29.698","5.937","19.560"
"00:03:19","-87.937","-49.902","-29.249","5.885","19.571"
"00:03:20","-88.426","-50.279","-29.410","5.892","19.631"
"00:03:21","-90.118","-51.142","-29.753","5.645","19.452"
"00:03:22","-92.518","-52.135","-29.981","5.626","19.482"
"00:03:23","-92.801","-52.526","-30.712","5.356","19.397"
"00:03:24","-84.227","-50.893","-31.455","5.146","19.334"
"00:03:25","-75.597","-47.246","-30.928","5.030","19.215"
"00:03:26","-72.442","-45.632","-30.185","5.162","19.368"
"00:03:27","-66.239","-42.767","-29.444","5.076","19.342"
"00:03:28","-61.062","-40.017","-28.644","4.884","19.119"
"00:03:29","-58.632","-38.651","-27.662","5.008","19.242"
"00:03:30","-54.334","-36.277","-26.656","5.069","19.376"
"00:03:31","-50.764","-34.063","-25.848","4.945","19.265"
"00:03:32","-49.023","-32.987","-25.501","4.957","19.262"
"00:03:33","-45.433","-30.870","-24.196","4.886","19.187"
"00:03:34","-42.177","-28.954","-22.918","4.968","19.176"
"00:03:35","-40.641","-28.063","-22.414","4.983","19.147"
"00:03:36","-37.982","-26.422","-22.232","4.605","18.898"
"00:03:37","-35.890","-24.755","-21.333","4.665","18.776"
"00:03:38","-34.825","-23.994","-20.627","4.710","18.787"
"00:03:39","-32.724","-22.543","-19.236","4.883","18.902"
"00:03:40","-30.623","-21.265","-18.764","4.643","18.806"
"00:03:41","-29.678","-20.674","-18.436","4.557","18.721"
"00:03:42","-27.919","-19.494","-17.502","4.531","18.620"
"00:03:43","-26.326","-18.413","-16.953","4.576","18.729"
"00:03:44","-25.478","-17.829","-16.355","4.606","18.788"
"00:03:45","-23.977","-16.887","-16.119","4.565","18.859"
"00:03:46","-22.541","-15.934","-15.717","4.408","18.714"
"00:03:47","-21.808","-15.493","-15.374","4.393","18.614"
"00:03:48","-20.558","-14.574","-14.327","4.524","18.614"
"00:03:49","-19.477","-13.709","-13.362","4.630","18.585"
"00:03:50","-18.902","-13.335","-12.980","4.615","18.540"
"00:03:51","-17.805","-12.559","-12.099","4.716","18.555"
"00:03:52","-16.847","-11.875","-11.281","5.107","18.894"
"00:03:53","-16.276","-11.489","-10.682","5.085","18.864"
"00:03:54","-15.291","-10.879","-10.365","4.923","18.771"
"00:03:55","-14.504","-10.303","-9.960","4.987","18.701"
"00:03:56","-14.121","-10.041","-9.842","5.018","18.753"
"00:03:57","-13.415","-9.515","-9.470","5.044","18.735"
"00:03:58","-12.623","-9.021","-9.067","5.040","18.705"
"00:03:59","-12.272","-8.789","-8.873","5.003","18.672"
"00:04:00","-11.600","-8.371","-8.812","4.947","18.598"
"00:04:01","-10.943","-7.914","-7.880","5.251","18.776"
"00:04:02","-10.626","-7.713","-7.637","5.214","18.717"
"00:04:03","-10.113","-7.344","-7.192","5.312","18.740"
"00:04:04","-9.625","-6.986","-6.614","5.447","18.736"
"00:04:05","-9.385","-6.796","-6.465","5.466","18.721"
"00:04:06","-8.864","-6.461","-6.218","5.473","18.725"
"00:04:07","-8.388","-6.161","-5.997","5.432","18.573"
"00:04:08","-8.198","-5.990","-5.849","5.489","18.562"
"00:04:09","-7.818","-5.689","-5.351","5.785","18.774"
"00:04:10","-7.339","-5.392","-5.039","5.767","18.730"
"00:04:11","-7.118","-5.267","-5.081","5.699","18.681"
"00:04:12","-6.783","-5.016","-4.856","5.884","18.745"
"00:04:13","-6.430","-4.787","-4.749","5.846","18.663"
"00:04:14","-6.239","-4.654","-4.548","5.892","18.626"
"00:04:15","-5.897","-4.415","-4.114","6.023","18.664"
"00:04:16","-5.619","-4.198","-3.707","6.177","18.671"
"00:04:17","-5.456","-4.110","-3.422","6.245","18.682"
"00:04:18","-5.114","-3.886","-2.920","6.399","18.664"
"00:04:19","-4.866","-3.707","-2.840","6.347","18.638"
"00:04:20","-4.725","-3.627","-2.715","6.339","18.627"
"00:04:21","-4.531","-3.452","-2.665","6.490","18.613"
"00:04:22","-4.246","-3.269","-2.357","6.591","18.665"
"00:04:23","-4.124","-3.197","-2.254","6.614","18.595"
"00:04:24","-3.850","-3.018","-1.809","6.832","18.662"
"00:04:25","-3.664","-2.881","-1.664","6.765","18.569"
"00:04:26","-3.565","-2.816","-1.645","6.843","18.643"
"00:04:27","-3.318","-2.656","-1.379","7.042","18.710"
"00:04:28","-3.173","-2.534","-1.025","7.226","18.759"
"00:04:29","-3.028","-2.451","-0.858","7.253","18.763"
"00:04:30","-2.842","-2.249","-0.588","7.347","18.748"
"00:04:31","-2.625","-2.070","-0.413","7.399","18.785"
"00:04:32","-2.515","-1.998","-0.398","7.354","18.766"
"00:04:33","-2.405","-1.857","-0.333","7.516","18.841"
"00:04:34","-2.214","-1.747","-0.317","7.445","18.760"
"00:04:35","-2.150","-1.678","-0.272","7.471","18.741"
"00:04:36","-2.001","-1.553","-0.150","7.576","18.774"
"00:04:37","-1.845","-1.401","0.171","7.948","18.968"
"00:04:38","-1.674","-1.328","0.295","7.974","18.972"
"00:04:39","-1.583","-1.222","0.449","7.930","18.942"
"00:04:40","-1.438","-1.149","0.483","7.870","18.820"
"00:04:41","-1.389","-1.092","0.577","7.979","18.850"
"00:04:42","-1.217","-0.940","0.817","8.257","18.991"
"00:04:43","-1.054","-0.845","0.915","8.201","18.943"
"00:04:44","-1.015","-0.810","0.968","8.253","18.921"
"00:04:45","-0.894","-0.696","1.103","8.362","19.025"
"00:04:46","-0.776","-0.601","1.208","8.456","19.059"
"00:04:47","-0.726","-0.559","1.242","8.423","19.010"
"00:04:48","-0.543","-0.448","1.363","8.539","19.115"
"00:04:49","-0.456","-0.384","1.438","8.554","19.040"
"00:04:50","-0.421","-0.338","1.472","8.495","18.996"
"00:04:51","-0.250","-0.243","1.562","8.592","19.048"
"00:04:52","-0.090","-0.132","1.675","8.649","19.030"
"00:04:53","-0.075","-0.113","1.709","8.623","19.038"
"00:04:54","0.028","-0.037","1.758","8.578","19.019"
"00:04:55","0.182","0.069","1.859","8.743","19.060"
"00:04:56","0.264","0.114","1.912","8.781","19.071"
"00:04:57","0.381","0.182","1.995","8.924","19.105"
"00:04:58","0.483","0.265","2.104","9.115","19.235"
"00:04:59","0.580","0.306","2.127","9.040","19.198"
"00:05:00","0.708","0.374","2.198","9.037","19.210"
"00:05:01","0.802","0.434","2.288","9.225","19.314"
"00:05:02","0.836","0.460","2.318","9.228","19.314"
"00:05:03","0.975","0.524","2.375","9.191","19.299"
"00:05:04","1.069","0.603","2.480","9.379","19.385"
"00:05:05","1.147","0.637","2.544","9.499","19.459"
"00:05:06","1.264","0.720","2.615","9.750","19.548"
"00:05:07","1.347","0.761","2.627","9.615","19.496"
"00:05:08","1.399","0.784","2.649","9.642","19.496"
"00:05:09","1.463","0.855","2.687","9.807","19.523"
"00:05:10","1.531","0.904","2.698","9.804","19.460"
"00:05:11","1.569","0.931","2.732","9.879","19.452"
"00:05:12","1.644","0.987","2.755","10.044","19.605"
"00:05:13","1.757","1.062","2.841","10.241","19.683"
"00:05:14","1.817","1.092","2.875","10.293","19.705"
"00:05:15","1.903","1.134","2.943","10.349","19.746"
"00:05:16","1.956","1.175","3.221","10.475","19.735"
"00:05:17","1.978","1.194","3.405","10.501","19.743"
"00:05:18","2.020","1.236","3.788","10.550","19.736"
"00:05:19","2.110","1.300","4.340","10.684","19.766"
"00:05:20","2.174","1.326","4.344","10.635","19.688"
"00:05:21","2.204","1.487","4.325","10.673","19.736"
"00:05:22","2.242","1.536","4.524","10.781","19.755"
"00:05:23","2.280","1.544","4.614","10.848","19.759"
"00:05:24","2.343","1.589","4.757","10.929","19.814"
"00:05:25","2.441","1.616","4.840","11.019","19.911"
"00:05:26","2.479","1.634","4.952","11.052","19.867"
"00:05:27","2.494","1.650","4.825","11.068","19.863"
"00:05:28","2.723","1.691","4.942","11.120","19.875"
"00:05:29","2.723","1.706","4.795","11.071","19.845"
"00:05:30","2.709","1.733","4.897","11.180","19.871"
"00:05:31","2.754","1.812","6.627","12.042","20.355"
"00:05:32","2.784","1.834","6.943","12.083","20.406"
"00:05:33","2.754","1.850","5.952","11.793","20.256"
"00:05:34","2.751","1.869","5.160","11.619","20.116"
"00:05:35","2.758","1.880","5.461","11.808","20.208"
"00:05:36","2.781","1.914","5.814","11.946","20.322"
"00:05:37","2.808","1.929","5.900","12.039","20.367"
"00:05:38","2.826","1.944","5.942","12.025","20.341"
"00:05:39","2.842","1.963","5.578","11.932","20.227"
"00:05:40","2.913","1.997","6.269","12.318","20.448"
"00:05:41","2.921","2.035","6.678","12.523","20.570"
"00:05:42","2.936","2.042","6.344","12.371","20.485"
"00:05:43","2.996","2.073","6.359","12.434","20.463"
"00:05:44","3.052","2.088","6.412","12.426","20.430"
"00:05:45","3.112","2.076","5.879","12.259","20.316"
"00:05:46","3.158","2.110","5.879","12.375","20.383"
"00:05:47","3.188","2.122","5.969","12.434","20.379"
"00:05:48","3.244","2.137","6.164","12.557","20.412"
"00:05:49","3.255","2.156","6.048","12.583","20.434"
"00:05:50","3.271","2.171","6.097","12.631","20.468"
"00:05:51","3.316","2.186","6.195","12.747","20.530"
"00:05:52","3.320","2.209","6.033","12.684","20.497"
"00:05:53","3.346","2.224","6.131","12.728","20.508"
"00:05:54","3.459","2.277","6.679","12.907","20.612"
"00:05:55","3.455","2.314","6.627","13.011","20.696"
"00:05:56","3.508","2.359","7.261","13.253","20.847"
"00:05:57","3.602","2.367","7.336","13.186","20.792"
"00:05:58","3.557","2.363","6.878","13.212","20.803"
"00:05:59","3.617","2.386","7.235","13.375","20.902"
"00:06:00","3.714","2.408","7.276","13.390","20.862"
"00:06:01","3.722","2.431","7.250","13.450","20.903"
"00:06:02","3.699","2.423","7.175","13.517","20.947"
"00:06:03","3.771","2.442","7.138","13.547","20.954"
"00:06:04","3.876","2.484","7.682","13.815","21.058"
"00:06:05","3.880","2.491","7.896","13.915","21.124"
"00:06:06","3.970","2.529","8.069","14.108","21.190"
"00:06:07","3.959","2.555","7.953","14.101","21.172"
"00:06:08","3.892","2.552","7.949","14.205","21.209"
"00:06:09","3.937","2.563","7.664","14.179","21.135"
"00:06:10","4.068","2.593","8.171","14.421","21.242"
"00:06:11","4.121","2.620","8.430","14.544","21.320"
"00:06:12","4.087","2.665","8.220","14.573","21.305"
"00:06:13","4.185","2.687","8.107","14.618","21.298"
"00:06:14","3.607","2.620","7.988","14.663","21.276"
"00:06:15","-36.383","1.126","6.846","14.689","21.313"
"00:06:16","-55.413","-10.553","5.698","14.693","21.357"
"00:06:17","-60.443","-16.274","5.454","14.827","21.379"
"00:06:18","-66.001","-22.959","3.383","14.634","21.302"
"00:06:19","-68.621","-26.488","2.155","14.704","21.310"
"00:06:20","-69.193","-27.501","2.231","14.783","21.310"
"00:06:21","-70.218","-29.211","1.379","14.738","21.295"
"00:06:22","-71.300","-30.570","0.178","14.735","21.248"
"00:06:23","-71.775","-31.068","0.219","14.891","21.299"
"00:06:24","-72.397","-32.128","-0.865","14.861","21.343"
"00:06:25","-72.844","-32.827","-0.512","15.047","21.402"
"00:06:26","-72.996","-33.265","-0.918","15.025","21.377"
"00:06:27","-72.929","-33.971","-1.568","14.947","21.424"
"00:06:28","-73.788","-34.823","-2.602","14.925","21.377"
"00:06:29","-74.096","-35.212","-3.107","14.877","21.311"
"00:06:30","-74.696","-35.855","1.744","14.940","21.395"
"00:06:31","-74.969","-36.505","0.197","14.650","21.230"
"00:06:32","-75.107","-36.830","-2.142","14.531","21.168"
"00:06:33","-75.644","-37.196","-3.430","14.784","21.322"
"00:06:34","-75.447","-37.481","-3.992","14.684","21.359"
"00:06:35","-75.675","-37.810","-5.159","14.513","21.275"
"00:06:36","-75.912","-38.264","-6.874","14.409","21.223"
"00:06:37","-76.010","-38.521","-7.562","14.510","21.323"
"00:06:38","-76.292","-38.693","-8.268","14.450","21.327"
"00:06:39","-76.301","-38.986","-9.033","14.417","21.338"
"00:06:40","-76.681","-39.187","-8.876","14.670","21.489"
"00:06:41","-76.873","-39.376","-9.481","14.585","21.526"
"00:06:42","-76.403","-39.415","-9.051","14.704","21.633"
"00:06:43","-76.891","-39.753","-9.671","14.715","21.544"
"00:06:44","-76.989","-39.877","-9.956","14.674","21.548"
"00:06:45","-77.325","-40.253","-11.387","14.522","21.519"
"00:06:46","-77.289","-40.302","-11.132","14.655","21.651"
"00:06:47","-77.262","-40.418","-11.426","14.514","21.574"
"00:06:48","-77.629","-40.768","-12.761","14.221","21.390"
"00:06:49","-77.652","-40.792","-12.248","14.533","21.629"
"00:06:50","-77.432","-40.879","-12.460","14.336","21.519"
"00:06:51","-77.813","-41.187","-13.499","14.054","21.372"
"00:06:52","-77.978","-41.450","-14.680","13.835","21.317"
