,Channel 1 Last (C),Channel 2 Last (C),Channel 3 Last (C),Channel 4 Last (C),Channel 5 Last (C),Channel 6 Last (C)
0:00:00,33.304,31.549,31.006,30.906,30.371,30.775
0:00:01,33.295,31.539,31.014,30.916,30.384,30.788
0:00:02,33.276,31.544,31.027,30.93,30.389,30.804
0:00:03,33.309,31.549,31.043,30.923,30.42,30.799
0:00:04,33.295,31.557,31.05,30.959,30.449,30.821
0:00:05,33.351,31.571,31.06,30.939,30.422,30.817
0:00:06,33.346,31.564,31.058,30.971,30.42,30.825
0:00:07,33.357,31.579,31.062,30.952,30.431,30.821
0:00:08,33.335,31.583,31.069,30.967,30.453,30.832
0:00:09,33.415,31.588,31.075,30.967,30.461,30.836
0:00:10,33.437,31.601,31.091,30.982,30.468,30.851
0:00:11,33.434,31.612,31.084,30.985,30.483,30.836
0:00:12,33.441,31.616,31.093,30.987,30.486,30.843
0:00:13,33.449,31.623,31.106,30.997,30.483,30.854
0:00:14,33.47,31.625,31.104,31.002,30.488,30.867
0:00:15,33.485,31.645,31.124,30.979,30.53,30.869
0:00:16,33.507,31.653,31.126,31.037,30.505,30.878
0:00:17,33.544,31.664,31.139,31.048,30.56,30.888
0:00:18,33.558,31.667,31.139,31.033,30.545,30.891
0:00:19,33.542,31.669,31.143,31.041,30.562,30.902
0:00:20,33.536,31.671,31.154,31.059,30.553,30.902
0:00:21,33.531,31.679,31.169,31.07,30.587,30.937
0:00:22,33.584,31.719,31.176,31.074,30.553,30.921
0:00:23,27.952,27.952,30.553,30.715,30.427,30.901
0:00:24,-10.769,-10.769,18.197,27.343,29.149,30.746
0:00:25,-16.197,-16.197,1.798,22.034,27.998,30.422
0:00:26,-15.257,-15.257,-4.099,14.843,26.791,29.381
0:00:27,-17.88,-17.88,-7.921,9.02,25.533,27.969
0:00:28,-18.631,-18.631,-9.925,3.844,24.448,26.451
0:00:29,-20.145,-20.145,-12.135,0.808,23.116,24.867
0:00:30,-21.637,-21.637,-14.141,-1.712,21.771,23.182
0:00:31,-22.77,-22.77,-15.683,-3.458,20.721,21.409
0:00:32,-23.29,-23.29,-16.582,-4.823,19.502,20.21
0:00:33,-23.036,-23.036,-17.321,-6.009,17.804,18.399
0:00:34,-17.794,-17.794,-13.887,-6.191,16.418,16.667
0:00:35,-12.658,-12.658,-10.19,-3.752,15.337,15.367
0:00:36,-18.269,-18.269,-13.555,-5.484,14.467,14.4
0:00:37,-10.427,-10.427,-9.061,-3.435,13.981,13.531
0:00:38,-5.438,-5.438,-5.765,-1.484,13.36,12.862
0:00:39,-3.324,-3.324,-4.275,-0.682,13.383,12.647
