"","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)","Channel 5 Last (C)","Channel 6 Last (C)"
"00:00:00","30.571","30.951","30.328","30.101","29.723","30.082"
"00:00:01","30.580","30.959","30.339","30.099","29.721","30.073"
"00:00:02","30.584","30.963","30.341","30.119","29.741","30.085"
"00:00:03","30.573","30.973","30.350","30.132","29.714","30.085"
"00:00:04","30.580","30.992","30.354","30.136","29.739","30.095"
"00:00:05","30.580","30.992","30.358","30.127","29.756","30.099"
"00:00:06","30.573","30.999","30.365","30.154","29.762","30.106"
"00:00:07","30.578","31.010","30.371","30.167","29.769","30.116"
"00:00:08","30.613","31.036","30.391","30.201","29.828","30.129"
"00:00:09","30.642","31.061","30.415","30.220","29.825","30.140"
"00:00:10","30.646","31.076","30.427","30.205","29.832","30.140"
"00:00:11","30.668","31.087","30.431","30.220","29.836","30.151"
"00:00:12","30.681","31.103","30.448","30.262","29.843","30.165"
"00:00:13","30.690","31.120","30.464","30.260","29.851","30.173"
"00:00:14","30.705","31.138","30.475","30.262","29.863","30.178"
"00:00:15","30.712","31.145","30.486","30.253","29.869","30.184"
"00:00:16","30.728","31.162","30.497","30.291","29.866","30.195"
"00:00:17","30.730","31.171","30.501","30.289","29.891","30.202"
"00:00:18","30.749","31.190","30.519","30.315","29.906","30.224"
"00:00:19","30.752","31.197","30.516","30.311","29.899","30.213"
"00:00:20","30.752","31.197","30.519","30.333","29.910","30.220"
"00:00:21","30.763","31.202","30.523","30.321","29.917","30.221"
"00:00:22","30.774","31.208","30.541","30.312","29.932","30.232"
"00:00:23","30.780","31.204","30.545","30.330","29.917","30.232"
"00:00:24","30.793","31.219","30.556","30.367","29.936","30.246"
"00:00:25","30.804","31.226","30.552","30.363","29.936","30.246"
"00:00:26","30.817","31.245","30.571","30.381","29.958","30.259"
"00:00:27","30.833","31.248","30.578","30.377","29.951","30.261"
"00:00:28","30.842","31.257","30.587","30.388","29.966","30.263"
"00:00:29","30.884","31.278","30.607","30.403","29.969","30.283"
"00:00:30","30.886","31.278","30.618","30.432","29.988","30.289"
"00:00:31","30.910","31.281","30.618","30.429","29.981","30.283"
"00:00:32","30.913","31.285","30.626","30.425","29.999","30.301"
"00:00:33","30.923","31.287","30.637","30.436","30.005","30.303"
"00:00:34","30.932","31.307","30.648","30.458","30.025","30.305"
"00:00:35","30.950","31.313","30.657","30.460","30.021","30.314"
"00:00:36","30.954","31.311","30.662","30.455","30.069","30.327"
"00:00:37","31.014","31.295","30.670","30.473","30.050","30.322"
"00:00:38","30.983","31.315","30.677","30.484","30.047","30.342"
"00:00:39","30.991","31.329","30.692","30.495","30.083","30.342"
"00:00:40","30.987","31.340","30.694","30.502","30.082","30.353"
"00:00:41","30.994","31.344","30.707","30.528","30.080","30.353"
"00:00:42","30.878","30.043","30.579","30.426","30.034","30.357"
"00:00:43","22.432","-1.246","25.717","28.690","29.363","30.291"
"00:00:44","-11.577","-15.388","3.799","20.309","27.783","29.845"
"00:00:45","-15.471","-14.706","-3.584","12.218","26.497","28.834"
"00:00:46","-16.663","-16.277","-6.001","7.992","25.787","27.870"
"00:00:47","-19.589","-18.599","-9.203","2.553","24.439","26.341"
"00:00:48","-21.654","-19.582","-11.768","-0.793","23.252","24.680"
"00:00:49","-23.907","-22.299","-14.121","-3.677","21.773","22.932"
"00:00:50","-21.579","-20.050","-13.818","-4.937","20.066","21.166"
"00:00:51","-22.143","-20.536","-14.511","-6.007","18.506","19.469"
"00:00:52","-22.608","-20.503","-15.204","-6.932","16.968","17.864"
"00:00:53","-21.807","-18.693","-14.570","-6.788","15.924","16.801"
"00:00:54","-25.426","-21.924","-17.336","-8.843","14.469","15.270"
"00:00:55","-23.578","-17.902","-14.420","-8.449","12.795","13.642"
"00:00:56","-15.636","-11.217","-9.900","-5.771","11.610","12.446"
"00:00:57","-9.855","-6.377","-6.578","-3.313","11.268","11.707"
"00:00:58","-6.567","-3.573","-4.527","-1.845","11.027","11.330"
"00:00:59","-4.327","-1.644","-3.065","-0.689","11.038","11.176"
"00:01:00","-3.225","-0.731","-2.396","-0.192","10.971","11.105"
"00:01:01","-2.031","0.259","-1.625","0.539","11.007","11.025"
"00:01:02","-1.229","1.192","-1.130","1.159","11.109","10.964"
"00:01:03","-0.594","1.667","-0.647","1.658","11.264","10.974"
"00:01:04","-0.088","2.274","-0.248","2.000","11.358","11.039"
"00:01:05","0.512","2.645","0.085","2.360","11.438","11.122"
"00:01:06","0.836","2.953","0.371","2.721","11.544","11.165"
"00:01:07","1.028","3.137","0.529","2.998","11.734","11.191"
"00:01:08","1.283","3.385","0.769","3.207","11.814","11.258"
"00:01:09","1.535","3.603","0.975","3.471","11.886","11.333"
"00:01:10","1.822","3.757","1.146","3.732","11.868","11.420"
"00:01:11","1.997","3.892","1.302","3.866","11.931","11.511"
"00:01:12","2.158","4.029","1.434","4.040","11.985","11.573"
"00:01:13","2.293","4.133","1.535","4.271","12.039","11.653"
"00:01:14","2.383","4.196","1.629","4.455","12.099","11.705"
"00:01:15","2.528","4.302","1.729","4.803","12.240","11.787"
"00:01:16","2.692","4.381","1.813","4.899","12.352","11.872"
"00:01:17","2.746","4.452","1.900","5.218","12.430","11.952"
"00:01:18","2.842","4.527","1.997","5.503","12.482","12.047"
"00:01:19","2.930","4.589","2.076","5.674","12.588","12.153"
"00:01:20","3.022","4.655","2.152","5.939","12.642","12.230"
"00:01:21","3.067","4.693","2.208","6.100","12.698","12.293"
"00:01:22","3.176","4.755","2.287","6.324","12.813","12.393"
"00:01:23","3.259","4.813","2.347","6.528","12.921","12.471"
"00:01:24","3.338","4.866","2.426","6.748","12.981","12.579"
"00:01:25","3.455","4.933","2.520","6.964","13.036","12.683"
"00:01:26","3.552","4.979","2.614","7.142","13.100","12.797"
"00:01:27","3.639","5.035","2.704","7.242","13.211","12.877"
"00:01:28","3.684","5.076","2.772","7.475","13.237","12.940"
"00:01:29","3.774","5.138","2.939","7.649","13.329","13.039"
"00:01:30","3.902","5.208","3.275","7.884","13.442","13.126"
"00:01:31","3.969","5.274","3.560","8.167","13.528","13.232"
"00:01:32","4.142","5.343","3.898","8.361","13.628","13.360"
"00:01:33","4.277","5.432","4.215","8.626","13.673","13.448"
"00:01:34","4.461","5.542","4.566","8.958","13.881","13.565"
"00:01:35","4.634","5.636","4.811","9.183","13.896","13.632"
"00:01:36","4.935","5.817","5.216","9.343","14.022","13.755"
"00:01:37","5.287","6.042","5.618","9.503","14.101","13.866"
"00:01:38","5.655","6.310","6.068","9.773","14.229","14.004"
"00:01:39","6.140","6.609","6.466","9.931","14.376","14.153"
"00:01:40","6.703","6.983","6.748","9.980","14.517","14.283"
"00:01:41","7.360","7.968","7.600","10.336","14.732","14.431"
"00:01:42","7.945","8.771","8.246","10.816","14.822","14.551"
"00:01:43","8.842","9.814","9.083","11.529","15.065","14.725"
"00:01:44","9.680","10.720","9.856","12.239","15.301","14.937"
"00:01:45","10.463","11.498","10.534","12.769","15.550","15.157"
"00:01:46","11.136","12.195","11.151","13.299","15.807","15.372"
"00:01:47","11.766","12.830","11.729","13.754","15.985","15.610"
"00:01:48","12.370","13.410","12.281","14.101","16.212","15.863"
"00:01:49","12.745","13.778","12.611","14.321","16.327","16.004"
"00:01:50","13.228","14.287","13.085","14.746","16.573","16.238"
"00:01:51","13.730","14.767","13.540","15.090","16.770","16.476"
"00:01:52","14.200","15.224","13.972","15.373","16.989","16.720"
"00:01:53","14.633","15.659","14.377","15.689","17.223","16.952"
"00:01:54","15.025","16.049","14.765","16.036","17.430","17.179"
