,Channel 1 Last (C),Channel 2 Last (C),Channel 3 Last (C),Channel 4 Last (C),Channel 5 Last (C),Channel 6 Last (C)
0:00:00,31.823,32.052,31.968,31.95,31.203,31.225
0:00:01,31.834,32.067,31.972,31.958,31.2,31.225
0:00:02,31.827,32.067,31.947,31.958,31.189,31.207
0:00:03,31.838,32.078,31.969,31.983,31.182,31.222
0:00:04,31.816,32.067,31.958,31.936,31.178,31.222
0:00:05,31.812,32.078,31.947,31.936,31.149,31.211
0:00:06,31.83,32.089,31.973,31.962,31.207,31.24
0:00:07,31.882,32.086,31.947,31.98,31.251,31.244
0:00:08,31.9,32.097,31.947,31.988,31.244,31.252
0:00:09,31.904,32.101,31.948,31.984,31.255,31.248
0:00:10,31.915,32.101,31.97,32.01,31.252,31.252
0:00:11,31.93,32.119,31.977,32.01,31.278,31.263
0:00:12,31.933,32.112,31.973,32.017,31.292,31.263
0:00:13,31.933,32.123,31.981,32.028,31.281,31.27
0:00:14,31.944,32.116,31.985,32.025,31.285,31.27
0:00:15,31.948,32.131,31.992,32.039,31.296,31.285
0:00:16,31.963,32.138,31.999,32.036,31.3,31.289
0:00:17,31.967,32.149,32.01,32.04,31.329,31.311
0:00:18,31.974,32.153,32.021,32.058,31.289,31.296
0:00:19,31.981,32.16,32.018,32.054,31.318,31.304
0:00:20,31.993,32.167,32.033,32.058,31.359,31.308
0:00:21,32.004,32.182,32.033,32.095,31.355,31.308
0:00:22,32.004,32.175,32.037,32.062,31.359,31.304
0:00:23,32.004,32.19,32.041,32.073,31.356,31.326
0:00:24,32.004,32.19,32.044,32.088,31.359,31.33
0:00:25,32.001,32.183,32.041,32.052,31.367,31.334
0:00:26,31.997,32.19,32.041,32.052,31.37,31.327
0:00:27,31.99,32.198,32.034,32.034,31.341,31.33
0:00:28,31.979,32.187,32.027,32.045,31.331,31.32
0:00:29,31.979,32.19,32.023,32.03,31.342,31.32
0:00:30,31.99,32.198,32.03,31.994,31.367,31.331
0:00:31,31.991,32.206,32.031,32.042,31.379,31.335
0:00:32,31.987,32.206,32.038,32.074,31.379,31.342
0:00:33,31.71,31.725,31.754,31.71,31.131,31.313
0:00:34,19.359,14.714,26.116,29.671,30.26,31.193
0:00:35,-2.077,0.322,11.05,24.733,26.852,30.749
0:00:36,-5.581,-1.993,5.502,22.32,25.168,30.326
0:00:37,-10.708,-5.908,-1.297,16.806,21.647,29.134
0:00:38,-11.832,-7.322,-3.216,14.034,19.664,28.512
0:00:39,-15.008,-9.834,-6.611,8.167,15.792,27.166
0:00:40,-15.734,-10.542,-7.724,5.495,13.607,26.519
0:00:41,-17.131,-12.047,-9.271,2.819,11.508,25.857
0:00:42,-18.154,-13.251,-11.07,-0.194,7.864,24.492
0:00:43,-18.961,-12.205,-10.842,-1.121,6.07,23.819
0:00:44,-16.127,-9.582,-10.244,-2.006,3.304,22.491
0:00:45,-11.71,-5.226,-6.416,-0.949,3.278,21.928
0:00:46,-5.309,-1.033,-2.561,0.591,4.126,20.662
0:00:47,-3.663,-0.063,-1.667,1.105,4.622,20.144
0:00:48,-3.07,0.508,-1.173,1.477,5.057,19.725
0:00:49,-0.937,1.984,-0.219,3.057,5.846,18.89
0:00:50,-0.165,2.352,0.212,3.069,6.769,18.637
0:00:51,0.96,3.046,0.896,3.238,7.626,18.203
0:00:52,1.41,3.407,1.185,3.456,7.866,18.051
0:00:53,2.086,5.044,1.692,3.272,5.273,17.798
0:00:54,2.529,4.991,1.835,3.407,5.288,17.642
0:00:55,2.717,5.051,1.992,3.663,5.314,17.501
0:00:56,3.051,5.112,2.271,4.887,5.746,17.29
0:00:57,3.194,5.142,2.383,5.363,5.957,17.186
0:00:58,3.498,5.154,2.575,6.024,6.366,17.049
0:00:59,3.529,5.158,2.639,6.306,6.543,16.971
0:01:00,3.656,5.195,2.771,6.963,6.948,16.867
0:01:01,3.758,5.226,2.842,7.121,7.294,16.841
0:01:02,3.785,5.256,2.899,7.26,7.561,16.815
0:01:03,3.913,5.339,3.027,7.508,7.966,16.808
0:01:04,3.988,5.392,3.083,7.659,8.158,16.801
0:01:05,4.018,5.512,3.159,7.933,8.635,16.757
0:01:06,4.09,5.572,3.211,8.095,8.77,16.753
0:01:07,4.267,5.715,3.321,8.384,9.033,16.78
0:01:08,4.278,5.772,3.34,8.523,9.248,16.791
0:01:09,4.455,5.828,3.381,8.745,9.48,16.795
0:01:10,4.62,6.031,3.513,9.053,9.822,16.795
0:01:11,4.789,6.062,3.555,9.301,10.025,16.747
0:01:12,5.071,6.175,3.716,9.771,10.553,16.711
0:01:13,5.192,6.22,3.829,9.895,10.847,16.733
0:01:14,5.395,6.386,4.07,10.145,11.383,16.767
0:01:15,5.508,6.54,4.262,10.257,11.632,16.853
0:01:16,5.425,6.63,4.652,10.324,11.889,16.92
0:01:17,5.392,6.582,5.302,10.432,12.171,17.069
0:01:18,5.479,6.905,5.486,10.429,12.317,17.132
0:01:19,5.573,7.581,5.865,10.477,12.662,17.266
0:01:20,5.648,7.877,6.594,10.533,12.819,17.378
0:01:21,6.178,8.524,8.482,10.583,13.146,17.639
0:01:22,6.05,9.034,9.244,10.519,13.38,17.735
0:01:23,5.859,9.5,9.822,10.619,13.484,17.832
0:01:24,7.259,10.315,10.761,11.441,13.972,18.022
0:01:25,8.344,10.739,11.177,11.887,14.236,18.119
0:01:26,10.297,11.613,11.988,12.646,14.727,18.365
0:01:27,11.07,12.051,12.393,13.01,14.979,18.487
0:01:28,12.245,12.88,13.151,13.675,15.385,18.718
0:01:29,12.687,13.267,13.508,13.913,15.634,18.829
0:01:30,13.059,13.639,13.854,14.174,15.928,18.945
0:01:31,13.828,14.323,14.494,14.754,16.333,19.161
0:01:32,14.137,14.646,14.791,14.969,16.556,19.265
0:01:33,14.758,15.241,15.36,15.456,16.973,19.488
0:01:34,15.063,15.527,15.613,15.635,17.181,19.585
0:01:35,15.598,16.059,16.159,16.048,17.542,19.812
0:01:36,15.832,16.304,16.386,16.252,17.765,19.916
0:01:37,16.086,16.558,16.624,16.439,17.958,20.021
0:01:38,16.561,17.026,17.074,16.814,18.271,20.219
0:01:39,16.759,17.238,17.286,17,18.49,20.33
0:01:40,17.201,17.673,17.706,17.353,18.784,20.54
0:01:41,17.395,17.874,17.885,17.514,18.903,20.625
0:01:42,17.815,18.264,18.268,17.908,19.249,20.828
0:01:43,18.023,18.458,18.443,18.027,19.413,20.905
0:01:44,18.142,18.633,18.611,18.172,19.566,20.994
0:01:45,18.522,18.979,18.953,18.525,19.882,21.193
0:01:46,18.737,19.157,19.131,18.674,19.986,21.277
0:01:47,19.042,19.481,19.425,18.927,20.24,21.454
0:01:48,19.206,19.637,19.593,19.083,20.369,21.561
0:01:49,19.496,19.95,19.887,19.351,20.62,21.724
0:01:50,19.645,20.105,20.028,19.5,20.756,21.809
0:01:51,19.794,20.252,20.175,19.638,20.911,21.901
0:01:52,20.109,20.536,20.44,19.895,21.095,22.07
0:01:53,20.201,20.661,20.558,19.976,21.202,22.155
0:01:54,20.478,20.919,20.831,20.242,21.401,22.328
0:01:55,20.61,21.052,20.956,20.33,21.515,22.395
0:01:56,20.853,21.323,21.215,20.628,21.774,22.564
0:01:57,20.96,21.416,21.306,20.71,21.862,22.623
0:01:58,21.078,21.531,21.417,20.828,21.895,22.69
0:01:59,21.303,21.752,21.619,21.02,22.116,22.83
0:02:00,21.425,21.87,21.719,21.141,22.212,22.904
0:02:01,21.638,22.087,21.94,21.315,22.411,23.055
0:02:02,21.723,22.187,22.028,21.429,22.44,23.114
0:02:03,21.944,22.393,22.231,21.606,22.647,23.276
0:02:04,22.044,22.492,22.334,21.701,22.746,23.331
0:02:05,22.128,22.581,22.423,21.794,22.824,23.401
0:02:06,22.309,22.765,22.592,21.989,22.993,23.531
0:02:07,22.416,22.85,22.681,22.077,23.071,23.59
0:02:08,22.608,23.038,22.873,22.24,23.207,23.722
0:02:09,22.685,23.13,22.957,22.332,23.322,23.785
0:02:10,22.869,23.311,23.13,22.483,23.473,23.91
0:02:11,22.917,23.381,23.201,22.542,23.517,23.97
0:02:12,23.01,23.473,23.289,22.645,23.595,24.044
0:02:13,23.179,23.624,23.44,22.796,23.738,24.165
0:02:14,23.253,23.698,23.521,22.866,23.786,24.232
0:02:15,23.401,23.846,23.654,23.055,23.945,24.317
0:02:16,23.485,23.927,23.717,23.117,24.011,24.383
0:02:17,23.622,24.085,23.879,23.257,24.151,24.501
0:02:18,23.692,24.155,23.942,23.338,24.203,24.556
0:02:19,23.754,24.218,24.005,23.39,24.251,24.59
0:02:20,23.909,24.362,24.141,23.56,24.402,24.697
0:02:21,23.987,24.428,24.208,23.63,24.45,24.76
0:02:22,24.105,24.572,24.333,23.715,24.554,24.855
0:02:23,24.142,24.62,24.392,23.781,24.595,24.922
0:02:24,24.278,24.753,24.506,23.91,24.749,25.021
0:02:25,24.338,24.808,24.569,23.97,24.801,25.062
0:02:26,24.407,24.864,24.636,24.051,24.867,25.11
0:02:27,24.518,24.996,24.761,24.172,24.978,25.214
0:02:28,24.588,25.056,24.82,24.231,24.993,25.251
0:02:29,24.706,25.166,24.927,24.349,25.111,25.35
0:02:30,24.762,25.218,24.983,24.434,25.196,25.391
0:02:31,24.891,25.34,25.097,24.523,25.27,25.487
0:02:32,24.939,25.391,25.149,24.564,25.318,25.531
0:02:33,24.998,25.439,25.193,24.637,25.373,25.572
0:02:34,25.112,25.55,25.296,24.763,25.473,25.653
0:02:35,25.142,25.595,25.337,24.811,25.539,25.687
0:02:36,25.231,25.701,25.451,24.892,25.635,25.771
0:02:37,25.279,25.75,25.496,24.944,25.672,25.808
0:02:38,25.4,25.849,25.598,25.078,25.761,25.902
0:02:39,25.445,25.894,25.629,25.114,25.794,25.934
0:02:40,25.496,25.949,25.677,25.169,25.846,25.967
0:02:41,25.592,26.045,25.776,25.254,25.946,26.063
0:02:42,25.644,26.1,25.821,25.298,25.994,26.108
0:02:43,25.747,26.193,25.92,25.402,26.075,26.171
0:02:44,25.792,26.233,25.946,25.446,26.086,26.207
0:02:45,25.866,26.329,26.05,25.542,26.203,26.292
0:02:46,25.914,26.362,26.087,25.575,26.234,26.322
0:02:47,25.958,26.403,26.116,25.638,26.267,26.348
0:02:48,26.036,26.496,26.194,25.716,26.323,26.418
0:02:49,26.084,26.54,26.238,25.741,26.378,26.448
0:02:50,26.161,26.614,26.312,25.808,26.452,26.514
0:02:51,26.206,26.651,26.353,25.852,26.493,26.559
0:02:52,26.28,26.728,26.427,25.948,26.556,26.622
0:02:53,26.306,26.765,26.467,25.974,26.585,26.659
0:02:54,26.35,26.81,26.508,26.004,26.637,26.681
0:02:55,26.45,26.88,26.582,26.133,26.722,26.759
0:02:56,26.49,26.921,26.63,26.174,26.777,26.792
0:02:57,26.549,26.994,26.693,26.222,26.829,26.836
0:02:58,26.586,27.031,26.726,26.244,26.862,26.873
0:02:59,26.693,27.116,26.826,26.378,26.955,26.947
0:03:00,26.741,27.161,26.855,26.414,26.984,26.969
0:03:01,26.753,27.198,26.885,26.429,26.995,26.999
0:03:02,26.823,27.264,26.948,26.488,27.047,27.058
0:03:03,26.863,27.305,26.985,26.514,27.084,27.073
0:03:04,26.923,27.364,27.04,26.591,27.143,27.136
0:03:05,26.974,27.401,27.081,26.647,27.202,27.166
0:03:06,27.052,27.468,27.133,26.724,27.24,27.232
0:03:07,27.092,27.504,27.177,26.728,27.269,27.254
