"","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)","Channel 5 Last (C)","Channel 6 Last (C)"
"00:00:00","31.374","31.964","31.468","31.538","31.141","31.122"
"00:00:01","31.374","31.964","31.476","31.534","31.126","31.137"
"00:00:02","31.376","31.970","31.476","31.542","31.130","31.137"
"00:00:03","31.378","31.968","31.472","31.520","31.163","31.130"
"00:00:04","31.374","31.968","31.476","31.527","31.152","31.115"
"00:00:05","31.370","31.979","31.472","31.531","31.159","31.134"
"00:00:06","31.382","31.972","31.465","31.538","31.101","31.145"
"00:00:07","31.363","31.965","31.455","31.517","31.152","31.134"
"00:00:08","31.374","31.968","31.469","31.535","31.159","31.141"
"00:00:09","31.371","31.965","31.458","31.535","31.149","31.152"
"00:00:10","31.378","31.968","31.466","31.535","31.178","31.141"
"00:00:11","31.367","31.968","31.469","31.549","31.181","31.145"
"00:00:12","31.397","31.972","31.462","31.561","31.178","31.142"
"00:00:13","31.415","31.991","31.488","31.564","31.116","31.156"
"00:00:14","31.379","32.002","31.477","31.546","31.142","31.145"
"00:00:15","31.419","31.995","31.484","31.565","31.164","31.157"
"00:00:16","31.422","31.991","31.488","31.561","31.171","31.164"
"00:00:17","31.423","31.998","31.499","31.528","31.142","31.178"
"00:00:18","31.426","31.991","31.495","31.568","31.197","31.164"
"00:00:19","31.427","32.006","31.496","31.572","31.201","31.186"
"00:00:20","31.459","32.017","31.525","31.623","31.193","31.204"
"00:00:21","31.478","32.035","31.536","31.576","31.157","31.197"
"00:00:22","31.489","32.043","31.547","31.605","31.197","31.197"
"00:00:23","31.504","32.052","31.556","31.653","31.223","31.203"
"00:00:24","31.518","32.065","31.576","31.668","31.249","31.198"
"00:00:25","31.518","32.065","31.562","31.671","31.263","31.194"
"00:00:26","31.547","32.087","31.591","31.690","31.256","31.223"
"00:00:27","31.559","32.098","31.602","31.690","31.231","31.238"
"00:00:28","31.562","32.091","31.595","31.653","31.253","31.191"
"00:00:29","31.530","32.087","31.588","31.650","31.249","31.198"
