,Channel 1 Last (C),Channel 2 Last (C),Channel 3 Last (C),Channel 4 Last (C),Channel 5 Last (C),Channel 6 Last (C),Channel 7 Last (C)
00:00:00,29.599,29.525,30,29.978,30.113,27.016,30.911
00:00:01,29.625,29.544,30.018,30.007,30.109,27.016,30.911
00:00:02,29.639,29.555,30.025,30.007,30.127,27.023,30.907
00:00:03,29.658,29.569,30.04,30.018,30.131,27.016,30.907
00:00:04,29.647,29.584,30.044,30.015,30.138,27.016,30.907
00:00:05,29.691,29.61,30.073,30.066,30.175,27.027,30.915
00:00:06,29.698,29.621,30.084,30.066,30.171,27.02,30.915
00:00:07,29.702,29.629,30.091,30.077,30.182,27.024,30.915
00:00:08,29.709,29.632,30.109,30.084,30.19,27.024,30.922
00:00:09,29.735,29.658,30.128,30.102,30.197,27.049,30.918
00:00:10,29.739,29.665,30.131,30.106,30.197,27.046,30.926
00:00:11,29.75,29.673,30.142,30.113,30.204,27.046,30.915
00:00:12,29.754,29.684,30.146,30.11,30.201,27.049,30.907
00:00:13,29.772,29.695,30.157,30.131,30.212,27.053,30.915
00:00:14,29.772,29.699,30.161,30.146,30.226,27.064,30.929
00:00:15,29.798,29.728,30.179,30.153,30.245,27.072,30.919
00:00:16,29.798,29.735,30.186,30.164,30.244,27.079,30.926
00:00:17,29.187,29.747,30.226,30.164,30.248,27.086,30.933
00:00:18,29.125,29.747,30.237,30.164,30.245,27.086,30.933
00:00:19,28.819,29.761,30.234,30.168,30.248,27.097,30.929
00:00:20,28.687,29.761,30.245,30.179,30.245,27.094,30.919
00:00:21,29.518,29.791,30.255,30.215,30.248,27.075,30.929
00:00:22,29.887,29.798,30.27,30.208,30.237,27.079,30.926
00:00:23,29.916,29.82,30.27,30.212,30.241,27.087,30.93
00:00:24,29.934,29.824,30.307,30.212,30.245,27.079,30.937
00:00:25,29.964,29.861,30.347,30.252,30.259,27.112,30.941
00:00:26,29.979,29.875,30.347,30.252,30.263,27.105,30.937
