cell_line,bio_replicate,tech_replicate,dist_from_surface_mm,n_live,n_expected,T_min
A549,N1,n1,0.05,103,1441,-86.59568291459817
A549,N1,n1,0.15,19,385,-77.62698684826424
A549,N1,n1,0.25,22,415,-69.5185112733966
A549,N1,n1,0.35,34,416,-62.122349607487635
A549,N1,n1,0.45,32,480,-55.32642469240603
A549,N1,n1,0.55,30,450,-49.043883252349495
A549,N1,n1,0.65,22,450,-43.2061677808072
A549,N1,n1,0.75,45,502,-37.758341051377236
A549,N1,n1,0.85,48,548,-32.65584495711546
A549,N1,n1,0.95,55,534,-27.86220403562769
A549,N1,n1,1.05,89,573,-23.3473703687004
A549,N1,n1,1.15,201,682,-19.08651641704497
A549,N1,n1,1.25,393,685,-15.059149431857046
A549,N1,n1,1.35,592,654,-11.24846336178808
A549,N1,n1,1.45,752,759,-7.640871634993009
A549,N1,n1,1.55,806,830,-4.2256825846107215
A549,N1,n1,1.65,697,703,-0.9948920128184773
A549,N1,n1,1.75,472,482,1.7181867712147334
A549,N1,n1,1.85,354,357,3.7976730881770875
A549,N1,n1,1.95,287,289,5.71753541777532
A549,N1,n1,2.05,240,242,7.403243667392342
A549,N1,n1,2.15,200,203,8.869053058928499
A549,N1,n1,2.25,178,179,10.131887174901246
A549,N1,n1,2.35,141,141,11.218864127316614
A549,N1,n1,2.45,79,81,12.15440919324355
A549,N1,n1,2.55,30,30,12.976549317940973
A549,N1,n1,2.65,4,4,13.758406469858404
A549,N1,n1,2.75,0,0,14.515724776978166
A549,N1,n1,2.85,0,0,15.248148491790975
A549,N1,n1,2.95,0,0,15.955373404715147
A549,N1,n3,0.05,102,1607,-80.16557945486309
A549,N1,n3,0.15,38,349,-70.81338177429086
A549,N1,n3,0.25,63,431,-62.366578782433514
A549,N1,n3,0.35,50,497,-54.671321066782774
A549,N1,n3,0.45,74,532,-47.61113692663736
A549,N1,n3,0.55,67,550,-41.095834805183266
A549,N1,n3,0.65,62,552,-35.05424015880816
A549,N1,n3,0.75,96,606,-29.42927456707976
A549,N1,n3,0.85,159,618,-24.174518015329852
A549,N1,n3,0.95,250,715,-19.25173782591272
A549,N1,n3,1.05,535,762,-14.629061256212802
A549,N1,n3,1.15,750,783,-10.279582077719557
A549,N1,n3,1.25,856,861,-6.1802596002127235
A549,N1,n3,1.35,939,975,-2.311010299925895
A549,N1,n3,1.45,977,981,1.280100643684808
A549,N1,n3,1.55,856,902,3.821853654914869
A549,N1,n3,1.65,675,687,6.195731517393147
A549,N1,n3,1.75,447,460,8.345658501740424
A549,N1,n3,1.85,414,423,10.11322499834733
A549,N1,n3,1.95,391,400,11.60551919023438
A549,N1,n3,2.05,347,351,12.850582935281828
A549,N1,n3,2.15,291,294,13.912062188300306
A549,N1,n3,2.25,205,208,14.834277880683608
A549,N1,n3,2.35,154,155,15.6504200400638
A549,N1,n3,2.45,77,80,16.382771914770988
A549,N1,n3,2.55,40,40,17.085408657056572
A549,N1,n3,2.65,2,2,17.765474008789738
A549,N1,n3,2.75,0,0,18.422858619615617
A549,N1,n3,2.85,0,0,19.057482389341125
A549,N1,n3,2.95,0,0,19.669300707416998
A549,N1,n4,0.05,131,1511,-99.80576620507068
A549,N1,n4,0.15,39,368,-89.30802556514153
A549,N1,n4,0.25,34,373,-79.81658200955516
A549,N1,n4,0.35,26,408,-71.15761377050708
A549,N1,n4,0.45,21,438,-63.199183104930285
A549,N1,n4,0.55,36,465,-55.83876180044277
A549,N1,n4,0.65,63,557,-48.99506187983051
A549,N1,n4,0.75,151,619,-42.60250149839553
A549,N1,n4,0.85,149,667,-36.60734654859168
A549,N1,n4,0.95,314,691,-30.964953537542307
A549,N1,n4,1.05,532,695,-25.637757667796556
A549,N1,n4,1.15,668,748,-20.593778888643268
A549,N1,n4,1.25,678,700,-15.805497440413344
A549,N1,n4,1.35,701,724,-11.249000160429574
A549,N1,n4,1.45,795,815,-6.903331257820387
A549,N1,n4,1.55,880,885,-2.750003119515127
A549,N1,n4,1.65,749,758,0.8358694453328825
A549,N1,n4,1.75,462,469,3.536088340175967
A549,N1,n4,1.85,402,417,5.928818107941989
A549,N1,n4,1.95,312,317,8.043347740501545
A549,N1,n4,2.05,281,286,9.931537147562786
A549,N1,n4,2.15,197,197,11.555097237629903
A549,N1,n4,2.25,179,180,12.941656251034367
A549,N1,n4,2.35,146,147,14.123480570448477
A549,N1,n4,2.45,73,78,15.14838835324011
A549,N1,n4,2.55,37,37,16.050159876629575
A549,N1,n4,2.65,5,5,16.88752464896018
A549,N1,n4,2.75,0,0,17.699312387136366
A549,N1,n4,2.85,0,0,18.485124110563184
A549,N1,n4,2.95,0,0,19.244614806560183
A549,N2,n1,0.05,193,1948,-76.16570089721287
A549,N2,n1,0.15,59,427,-67.43694195841161
A549,N2,n1,0.25,74,428,-59.54433912268463
A549,N2,n1,0.35,72,504,-52.344162437577914
A549,N2,n1,0.45,58,508,-45.72739911850312
A549,N2,n1,0.55,64,581,-39.60939418566888
A549,N2,n1,0.65,99,664,-33.9230599554067
A549,N2,n1,0.75,179,714,-28.61426642339284
A549,N2,n1,0.85,263,774,-23.63861368499256
A549,N2,n1,0.95,551,829,-18.959106310898235
A549,N2,n1,1.05,785,880,-14.544429750136937
A549,N2,n1,1.15,885,939,-10.367634320429886
A549,N2,n1,1.25,977,1031,-6.405095795987643
A549,N2,n1,1.35,1018,1099,-2.635660361924769
A549,N2,n1,1.45,1112,1176,0.6996955684179373
A549,N2,n1,1.55,1209,1264,3.3384842036467526
A549,N2,n1,1.65,1056,1104,5.562592375851417
A549,N2,n1,1.75,750,798,7.586427460752829
A549,N2,n1,1.85,644,655,9.280288941133245
A549,N2,n1,1.95,494,505,10.756015947706187
A549,N2,n1,2.05,410,432,11.993767328762148
A549,N2,n1,2.15,329,334,13.05617394650398
A549,N2,n1,2.25,262,269,13.987154685676126
A549,N2,n1,2.35,220,222,14.808604042073366
A549,N2,n1,2.45,116,120,15.55361043865866
A549,N2,n1,2.55,55,58,16.27173376117349
A549,N2,n1,2.65,1,2,16.96644041526485
A549,N2,n1,2.75,0,0,17.637584875625535
A549,N2,n1,2.85,0,0,18.285058456480037
A549,N2,n1,2.95,0,0,18.90879573797586
A549,N2,n2,0.05,300,1713,-78.92385916876466
A549,N2,n2,0.15,141,424,-69.57662246391756
A549,N2,n2,0.25,157,516,-61.14236161544872
A549,N2,n2,0.35,215,528,-53.463454368088094
A549,N2,n2,0.45,175,608,-46.41996186643121
A549,N2,n2,0.55,285,679,-39.918405503860974
A549,N2,n2,0.65,378,733,-33.8844170507918
A549,N2,n2,0.75,592,763,-28.257760883125282
A549,N2,n2,0.85,804,863,-22.988866218035486
A549,N2,n2,0.95,909,954,-18.036353706212687
A549,N2,n2,1.05,968,1010,-13.36523732727917
A549,N2,n2,1.15,1067,1078,-8.945598681717598
A549,N2,n2,1.25,1075,1100,-4.751601946320056
A549,N2,n2,1.35,1160,1187,-0.7607629154714595
A549,N2,n2,1.45,1191,1224,2.2482016056958996
A549,N2,n2,1.55,1273,1314,4.647557199348949
A549,N2,n2,1.65,1116,1124,6.8909997245074965
A549,N2,n2,1.75,876,891,8.829802974511965
A549,N2,n2,1.85,670,699,10.560473683449192
A549,N2,n2,1.95,573,579,12.043920418043834
A549,N2,n2,2.05,453,469,13.28950579573083
A549,N2,n2,2.15,365,388,14.346899280695235
A549,N2,n2,2.25,282,292,15.276601617054874
A549,N2,n2,2.35,207,212,16.105831796064706
A549,N2,n2,2.45,153,154,16.861461969382116
A549,N2,n2,2.55,72,72,17.591769663075205
A549,N2,n2,2.65,4,7,18.298146476829984
A549,N2,n2,2.75,0,0,18.98046018243754
A549,N2,n2,2.85,0,0,19.638615784693943
A549,N2,n2,2.95,0,0,20.272561918263317
A549,N2,n3,0.05,461,2318,-82.92154302366087
A549,N2,n3,0.15,126,563,-73.19832603654208
A549,N2,n3,0.25,137,587,-64.40725548067113
