label,replicate,dist_from_surface_mm,n_live,n_expected,T_min
2x6 F1,N1,0.1,19,522,-109.57896829528252
2x6 F1,N1,0.3,8,240,-97.86827781167267
2x6 F1,N1,0.5,13,296,-88.22446538263347
2x6 F1,N1,0.7,6,334,-80.03516357119778
2x6 F1,N1,0.9,15,363,-72.92658305501807
2x6 F1,N1,1.1,24,449,-66.65362262232507
2x6 F1,N1,1.3,18,475,-61.046731560343495
2x6 F1,N1,1.5,34,517,-55.983629779196924
2x6 F1,N1,1.7,40,660,-51.37312372621158
2x6 F1,N1,1.9,37,681,-47.1453011524539
2x6 F1,N1,2.1,48,698,-43.24531086872948
2x6 F1,N1,2.3,76,768,-39.62926402533946
2x6 F1,N1,2.5,75,855,-36.26144559645924
2x6 F1,N1,2.7,78,906,-33.11236454286749
2x6 F1,N1,2.9,79,902,-30.15735746776225
2x6 F1,N1,3.1,94,997,-27.37556731602127
2x6 F1,N1,3.3,87,1034,-24.749182136763306
2x6 F1,N1,3.5,103,1060,-22.26285791457582
2x6 F1,N1,3.7,176,1087,-19.903274107512
2x6 F1,N1,3.9,200,1138,-17.658786483942542
2x6 F1,N1,4.1,177,1203,-15.51915241093244
2x6 F1,N1,4.3,203,1265,-13.47531087360925
2x6 F1,N1,4.5,316,1308,-11.542751217296285
2x6 F1,N1,4.7,401,1336,-9.693219689355834
2x6 F1,N1,4.9,562,1437,-7.906211824245177
2x6 F1,N1,5.1,655,1485,-6.179203837035984
2x6 F1,N1,5.3,872,1521,-4.509545425032565
2x6 F1,N1,5.5,1030,1552,-2.8945661155759215
2x6 F1,N1,5.7,1148,1637,-1.3563603710102061
2x6 F1,N1,5.9,1227,1763,-0.10549175881152884
2x6 F1,N1,6.1,1487,1849,0.8954718021956402
2x6 F1,N1,6.3,1561,1901,1.85339647601401
2x6 F1,N1,6.5,1844,2053,2.77025256331092
2x6 F1,N1,6.7,1913,2074,3.6513055329824105
2x6 F1,N1,6.9,1855,2133,4.501527366962588
2x6 F1,N1,7.1,1996,2151,5.3148069549185974
2x6 F1,N1,7.3,2204,2383,6.093004883620007
2x6 F1,N1,7.5,2297,2473,6.84200981696469
2x6 F1,N1,7.7,2349,2549,7.560687482009985
2x6 F1,N1,7.9,2233,2407,8.25132823585708
2x6 F1,N2,0.1,9,934,-84.93431404064516
2x6 F1,N2,0.3,6,488,-75.26882669333143
2x6 F1,N2,0.5,4,526,-67.29773564368371
2x6 F1,N2,0.7,11,711,-60.518956213612014
2x6 F1,N2,0.9,17,727,-54.62630351333446
2x6 F1,N2,1.1,33,972,-49.41917229679482
2x6 F1,N2,1.3,50,1160,-44.758870994115455
2x6 F1,N2,1.5,73,1035,-40.54539289853453
2x6 F1,N2,1.7,145,1277,-36.70413321130098
2x6 F1,N2,1.9,128,1332,-33.1778511685672
2x6 F1,N2,2.1,215,1309,-29.92157924585928
2x6 F1,N2,2.3,298,1402,-26.899275266760384
2x6 F1,N2,2.5,386,1548,-24.081549643758397
2x6 F1,N2,2.7,499,1683,-21.444079628463246
2x6 F1,N2,2.9,573,1701,-18.966475915153122
2x6 F1,N2,3.1,820,1713,-16.63145490794958
2x6 F1,N2,3.3,811,1880,-14.424222296476962
2x6 F1,N2,3.5,934,1995,-12.332005733934697
2x6 F1,N2,3.7,1086,2040,-10.343694714661154
2x6 F1,N2,3.9,1195,2174,-8.449558882178225
2x6 F1,N2,4.1,1440,2241,-6.6410246756271025
2x6 F1,N2,4.3,1408,2290,-4.910496063072034
2x6 F1,N2,4.5,1588,2484,-3.2575529391579714
2x6 F1,N2,4.7,1640,2658,-1.6943825759805484
2x6 F1,N2,4.9,1784,2680,-0.3183856417298386
2x6 F1,N2,5.1,1839,2673,0.7532500634862509
2x6 F1,N2,5.3,1945,2787,1.7673875334546278
2x6 F1,N2,5.5,2272,2883,2.738125301933005
2x6 F1,N2,5.7,2402,2934,3.671302558370146
2x6 F1,N2,5.9,2556,2957,4.561368567095781
2x6 F1,N2,6.1,2738,3001,5.4090314331249205
2x6 F1,N2,6.3,2640,3348,6.222499858584584
2x6 F1,N2,6.5,3027,3360,7.001891888918236
2x6 F1,N2,6.7,3013,3534,7.748126972915195
2x6 F1,N2,6.9,3008,3749,8.463372185118216
2x6 F1,N2,7.1,3201,3582,9.149200840525506
2x6 F1,N2,7.3,3391,3525,9.80686930848805
2x6 F1,N2,7.5,3340,3778,10.438192153258942
2x6 F1,N2,7.7,3430,3924,11.044374059713311
2x6 F1,N2,7.9,3392,3937,11.626928913775314
2x6 F1,N3,0.1,30,1000,-78.52230403643642
2x6 F1,N3,0.3,13,398,-69.66307936855952
2x6 F1,N3,0.5,10,449,-62.365459389910214
2x6 F1,N3,0.7,26,509,-56.16523914105863
2x6 F1,N3,0.9,67,662,-50.778934672188754
2x6 F1,N3,1.1,107,718,-46.02060140936578
2x6 F1,N3,1.3,130,851,-41.76160813983986
2x6 F1,N3,1.5,194,882,-37.909223934182016
2x6 F1,N3,1.7,244,1040,-34.3943580951173
2x6 F1,N3,1.9,331,994,-31.16412630600488
2x6 F1,N3,2.1,444,1101,-28.177128974097805
2x6 F1,N3,2.3,487,1140,-25.400334838532288
2x6 F1,N3,2.5,536,1270,-22.806956467722785
2x6 F1,N3,2.7,635,1438,-20.374961325089327
2x6 F1,N3,2.9,627,1295,-18.086002959113056
2x6 F1,N3,3.1,699,1344,-15.92463750032287
2x6 F1,N3,3.3,722,1468,-13.877738547427489
2x6 F1,N3,3.5,768,1476,-11.934052921774898
2x6 F1,N3,3.7,785,1649,-10.083858333425955
2x6 F1,N3,3.9,804,1652,-8.318696025495552
2x6 F1,N3,4.1,739,1668,-6.631159428179751
2x6 F1,N3,4.3,752,1870,-5.0147252380614
2x6 F1,N3,4.5,970,2069,-3.46361704531145
2x6 F1,N3,4.7,1017,2025,-1.9922623723017276
2x6 F1,N3,4.9,988,1969,-0.6278451269301832
2x6 F1,N3,5.1,1069,2050,0.43279741534420757
2x6 F1,N3,5.3,1264,2344,1.4035092556367728
2x6 F1,N3,5.5,1402,2334,2.329416905693583
2x6 F1,N3,5.7,1652,2441,3.219179577139879
2x6 F1,N3,5.9,1729,2417,4.072207340076263
2x6 F1,N3,6.1,2000,2553,4.887078174018798
2x6 F1,N3,6.3,2072,2567,5.663141527887704
2x6 F1,N3,6.5,2267,2761,6.408624760481866
2x6 F1,N3,6.7,2251,2829,7.121235653505383
2x6 F1,N3,6.9,2449,2867,7.804221367820384
2x6 F1,N3,7.1,2655,2818,8.45843874247825
2x6 F1,N3,7.3,2884,2979,9.085532427997782
2x6 F1,N3,7.5,2869,3152,9.686956039705333
2x6 F1,N3,7.7,2941,3143,10.264079916914529
2x6 F1,N3,7.9,2820,3250,10.8182330789421
